Team_Url;Team;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Notes
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-02-12;19:15;Copa de la Liga Profesional;Group stage;Fri;Away;L;0;2;Banfield;0,5;2,0;61;NA;Iván Pillud;4-1-3-2;Nicolás Lamolina;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-02-20;19:20;Copa de la Liga Profesional;Group stage;Sat;Home;D;2;2;Aldosivi;0,9;1,0;45;NA;Iván Pillud;4-2-3-1;Facundo Tello;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-02-28;19:20;Copa de la Liga Profesional;Group stage;Sun;Away;D;0;0;Estudiantes;0,6;1,0;55;NA;Gabriel Arias;4-2-2-2;Silvio Trucco;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-03-08;19:15;Copa de la Liga Profesional;Group stage;Mon;Home;W;1;0;Rosario Central;0,4;0,4;50;NA;Gabriel Arias;4-1-2-1-2◆;Hernán Mastrángelo;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-03-13;17:10;Copa de la Liga Profesional;Group stage;Sat;Away;W;2;0;Platense;0,7;0,6;60;NA;Gabriel Arias;4-1-4-1;Fernando Echenique;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-03-22;21:15;Copa de la Liga Profesional;Group stage;Mon;Home;W;1;0;Arg Juniors;0,5;1,2;45;NA;Leonardo Sigali;4-1-4-1;Silvio Trucco;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-03-28;18:30;Copa de la Liga Profesional;Group stage;Sun;Away;D;0;0;River Plate;0,2;1,5;30;NA;Gabriel Arias;4-1-4-1;Fernando Rapallini;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-04;21:00;Copa de la Liga Profesional;Group stage;Sun;Home;L;2;4;Godoy Cruz;2,1;1,0;68;NA;Gabriel Arias;4-3-3;Facundo Tello;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-10;21:00;Copa de la Liga Profesional;Group stage;Sat;Home;W;1;0;Independiente;1,9;0,6;58;NA;Gabriel Arias;5-3-2;Mauro Vigliano;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-18;13:30;Copa de la Liga Profesional;Group stage;Sun;Away;L;1;2;Arsenal;0,9;1,5;62;NA;Gabriel Arias;4-4-2;Fernando Espinoza;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-21;21:00;Libertadores;Group stage;Wed;Away;D;1;1;Rentistas;2,6;0,9;65;NA;Gabriel Arias;3-1-4-2;Carlos Benítez;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-25;15:45;Copa de la Liga Profesional;Group stage;Sun;Home;W;2;1;Colón;0,8;0,7;66;NA;Gabriel Arias;3-1-4-2;Pablo Dóvalo;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-04-29;19:00;Libertadores;Group stage;Thu;Home;W;2;1;Sporting Cristal;1,0;2,3;41;NA;Gabriel Arias;4-1-3-2;Ángel Arteaga;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-02;18:40;Copa de la Liga Profesional;Group stage;Sun;Away;L;0;1;Cen. Córdoba–SdE;0,8;1,6;62;NA;Gabriel Arias;4-1-4-1;Pablo Echavarría;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-05;19:00;Libertadores;Group stage;Wed;Home;D;0;0;São Paulo;1,7;0,3;52;NA;Gabriel Arias;3-4-3;Piero Maza;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-09;14:30;Copa de la Liga Profesional;Group stage;Sun;Home;W;2;0;San Lorenzo;1,3;0,7;48;NA;Gabriel Arias;4-3-3;Darío Herrera;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-11;19:30;Libertadores;Group stage;Tue;Away;W;2;0;Sporting Cristal;0,8;1,8;45;NA;Iván Pillud;3-4-1-2;John J. Ospina;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-16;12:00;Copa de la Liga Profesional;Quarter-finals;Sun;Away;D;0 (4);0 (2);Vélez Sarsfield;0,9;0,9;45;NA;Darío Cvitanich;4-3-3;Germán Delfino;Racing Club won on penalty kicks following normal time
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-18;21:30;Libertadores;Group stage;Tue;Away;W;1;0;São Paulo;0,2;1,3;28;NA;Gabriel Arias;5-3-2;Jesús Valenzuela;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-25;21:30;Libertadores;Group stage;Tue;Home;W;3;0;Rentistas;1,8;2,3;43;NA;Gabriel Arias;4-5-1;Nicolás Gamboa;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-05-31;15:00;Copa de la Liga Profesional;Semi-finals;Mon;Home;D;0 (4);0 (2);Boca Juniors;0,2;0,4;43;NA;Iván Pillud;4-3-3;Darío Herrera;Racing Club won on penalty kicks following extra time
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-06-04;19:00;Copa de la Liga Profesional;Final;Fri;Away;L;0;3;Colón;0,2;1,9;50;NA;Iván Pillud;4-3-3;Néstor Pitana;
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-13;21:30;Libertadores;Round of 16;Tue;Away;D;1;1;São Paulo;0,7;1,9;59;NA;Gabriel Arias;3-1-4-2;John J. Ospina;Leg 1 of 2
https://fbref.com/en/squads/8e20e13d/2021/Racing-Club-Stats;Racing Club;2021-07-17;20:15;Liga Argentina;Matchweek 1;Sat;Away;D;0;0;Vélez Sarsfield;0,5;0,3;49;NA;Gabriel Arias;4-4-1-1;Germán Delfino;
