"","Date","Squad","Home_Away","Match_Half","Minute","Player","xG","PSxG","Outcome","Distance","Body Part","Notes","Player_SCA_1","Event_SCA_1","Player_SCA_2","Event_SCA_2"
"1","2024-07-20","Racing Club","Home",1,"8","Gabriel Rojas","0.04","","Blocked","22","Left Foot","Free kick","Johan Carbonero","Fouled","Nazareno Colombo","Pass (Live)"
"2","2024-07-20","Racing Club","Home",1,"9","Gastón Martirena","0.02","","Off Target","25","Right Foot","","Agustín Almendra","Pass (Dead)","Gabriel Rojas","Shot"
"3","2024-07-20","Racing Club","Home",1,"10","Johan Carbonero","0.01","0.03","Saved","34","Right Foot","","Juan Nardoni","Pass (Live)","Maximiliano Salas","Pass (Live)"
"4","2024-07-20","Racing Club","Home",1,"11","Adrián Martínez","0.54","0.88","Goal","14","Left Foot","","Johan Carbonero","Pass (Live)","Adrián Martínez","Tackle"
"5","2024-07-20","Racing Club","Home",1,"20","Johan Carbonero","0.21","0.57","Goal","15","Left Foot","","","","",""
"6","2024-07-20","Racing Club","Home",1,"31","Gastón Martirena","0.01","","Off Target","69","Right Foot","","Juan Nardoni","Pass (Live)","Santiago Quiros","Pass (Live)"
"7","2024-07-20","Racing Club","Home",2,"54","Nazareno Colombo","0.02","","Off Target","38","Right Foot","","Johan Carbonero","Pass (Live)","Gabriel Rojas","Pass (Dead)"
"8","2024-07-20","Racing Club","Home",2,"57","Nazareno Colombo","0.02","","Off Target","15","Head","","Agustín Almendra","Pass (Live)","Johan Carbonero","Pass (Live)"
"9","2024-07-20","Racing Club","Home",2,"57","Adrián Martínez","0.17","0.38","Saved","5","Head","","Gastón Martirena","Pass (Live)","",""
"10","2024-07-20","Racing Club","Home",2,"59","Adrián Martínez","0.03","","Off Target","24","Left Foot","Volley","Gabriel Rojas","Pass (Live)","",""
"11","2024-07-20","Racing Club","Home",2,"61","Gabriel Rojas","0.19","0.22","Goal","16","Left Foot","","Gastón Martirena","Pass (Live)","Johan Carbonero","Pass (Live)"
"12","2024-07-20","Racing Club","Home",2,"68","Maximiliano Salas","0.04","","Blocked","16","Left Foot","","Agustín Almendra","Pass (Dead)","Gastón Martirena","Fouled"
"13","2024-07-20","Racing Club","Home",2,"76","Adrián Martínez","0.22","0.09","Saved","28","Left Foot","Volley","Agustín Almendra","Pass (Live)","",""
"14","2024-07-20","Godoy Cruz","Away",1,"25","Martín Pino","0.02","","Off Target","31","Right Foot","","Martín Pino","Tackle","",""
"15","2024-07-20","Godoy Cruz","Away",2,"49","Roberto Nicolás Fernández","0.02","","Blocked","23","Right Foot","","","","",""
"16","2024-07-20","Godoy Cruz","Away",2,"78","Gonzalo Abrego","0.02","","Off Target","31","Right Foot","","","","",""
"17","2024-07-20","Godoy Cruz","Away",2,"83","Martín Pino","0.03","","Blocked","12","Head","","Roberto Nicolás Fernández","Take-On","Salomón Rodríguez","Pass (Live)"
"18","2024-07-20","Godoy Cruz","Away",2,"84","Martín Pino","0.11","","Off Target","8","Head","","Roberto Nicolás Fernández","Pass (Dead)","Martín Pino","Shot"
"19","2024-07-20","Godoy Cruz","Away",2,"90+1","Salomón Rodríguez","0.05","","Off Target","31","Left Foot","Free kick","Martín Pino","Fouled","Federico Rasmussen","Pass (Live)"
